Group,Subgroup,Emoji,Title,DescribedBy,URL,Description,Codepoints Hex
smiley,Smiling & Affectionate,😀,Grinning Face,grinning-face,/grinning-face,"A yellow face with simple, open eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general pleasure and good cheer or humor. Not to be confused with 😃 Grinning Face With Big Eyes or 😄 Grinning Face With Smiling Eyes , which have the same smiles but more expressive eye shapes. This emoji has a cat variant, 😺 Grinning Cat Face .",U+1F600
smiley,Smiling & Affectionate,😃,Grinning Face with Big Eyes,grinning-face-with-big-eyes,/grinning-face-with-big-eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement. Similar to 😀 Grinning Face but with taller, more excited eyes.",U+1F603
smiley,Smiling & Affectionate,😄,Grinning Face with Smiling Eyes,grinning-face-with-smiling-eyes,/grinning-face-with-smiling-eyes,"A yellow face with smiling eyes and a broad, open smile, showing upper teeth and tongue on some platforms. Often conveys general happiness and good-natured amusement. Similar to 😀 Grinning Face and 😃 Grinning Face With Big Eyes , but with warmer, less excited eyes. This emoji has a cat variant, 😸 Grinning Cat Face With Smiling Eyes .",U+1F604
smiley,Smiling & Affectionate,😁,Beaming Face with Smiling Eyes,beaming-face-with-smiling-eyes,/beaming-face-with-smiling-eyes,"A yellow face with smiling eyes and full-toothed grin, as if saying Cheese! for the camera. Teeth may be smoothed-over or crosshatched. Often expresses a radiant, gratified happiness. Tone varies, including warm, silly, amused, or proud. Prior to 2017 , Apple's design resembled its 😬 Grimacing Face .",U+1F601
smiley,Smiling & Affectionate,😆,Grinning Squinting Face,grinning-squinting-face,/grinning-squinting-face,"A yellow face with a broad, open smile and scrunched, X-shaped eyes. Often conveys excitement or hearty laughter. Similar to 😀 Grinning Face but with eyes that might say Squee! or Awesome! An emoji form of the >< or xD emoticons.",U+1F606
smiley,Smiling & Affectionate,😅,Grinning Face with Sweat,grinning-face-with-sweat,/grinning-face-with-sweat,"Has the same grin and eyes as 😄 Grinning Face With Smiling Eyes but with a single, blue bead of sweat, usually over its left eye. Intended to depict nerves or discomfort but commonly used to express a close call, as if saying Whew! and wiping sweat from the forehead.",U+1F605
smiley,Smiling & Affectionate,🤣,Rolling on the Floor Laughing,rolling-on-the-floor-laughing,/rolling-on-the-floor-laughing,"A yellow face with a big grin and scrunched, X-shaped eyes, tilted on its side as if rolling on the floor laughing (the internet acronym ROFL ). Sheds two tears and tilts right on most platforms. Often conveys hysterical laughter more intense than 😂 Face With Tears of Joy . Using shown tilted leftwards, though WhatsApp's design tilts to the right. Microsoft's design previously featured a smiley with hands and feet.",U+1F923
smiley,Smiling & Affectionate,😂,Face with Tears of Joy,face-with-tears-of-joy,/face-with-tears-of-joy,"A yellow face with a big grin, uplifted eyebrows, and smiling eyes, each shedding a tear from laughing so hard. Widely used to show something is funny or pleasing. Named the Oxford Dictionaries 2015 Word of the Year , and the most used emoji on all platforms from 2011-2021 . Briefly overtaken as the top emoji on Twitter in 2021 by 😭 Loudly Crying Face , though as of January 2022 it has reclaimed its top position on the platform . See also: 🤣 Rolling on the Floor Laughing which expresses more intense laughter; or cat variant: 😹 Cat Face With Tears of Joy .",U+1F602
smiley,Smiling & Affectionate,🙂,Slightly Smiling Face,slightly-smiling-face,/slightly-smiling-face,"A yellow face with simple, open eyes and a thin, closed smile. Conveys a wide range of positive, happy, and friendly sentiments. Its tone can also be patronizing, passive-aggressive, or ironic, as if saying This is fine when it’s really not.",U+1F642
smiley,Smiling & Affectionate,😉,Winking Face,winking-face,/winking-face,"A yellow face with a slight smile or open mouth shown winking, usually its left eye. May signal a joke, flirtation, hidden meaning, or general positivity. Tone varies, including playful, affectionate, suggestive, or ironic. Not to be confused with the more mischievous or sexual 😏 Smirking Face . An emoji form of the ;) emoticon.",U+1F609
