filename,description
cartoonized_image_0.png,a red mailbox with a white background
cartoonized_image_1.png,an old car sticker
cartoonized_image_10.png,hot air balloon sticker
cartoonized_image_100.png,a sticker with a cartoon pine wearing glasses
cartoonized_image_1000.png,a stained stained glass window with a humming
cartoonized_image_1001.png,a sticker with a peacock sitting on a chair
cartoonized_image_1002.png,a penguin sitting on a bar cart with bottles and bottles
cartoonized_image_1003.png,the legend book sticker
cartoonized_image_1004.png,motorcycle rider racing game
cartoonized_image_1005.png,a sticker with a spaceship in the sky
cartoonized_image_1006.png,a sticker with a tiger face and a plant in it
cartoonized_image_1007.png,a dolphin and a dolphin sticker
cartoonized_image_1008.png,a sticker with a green snake in the middle
cartoonized_image_1009.png,a unicorn sitting at a table with a cup of coffee
cartoonized_image_101.png,an octopus with balloons
cartoonized_image_1010.png,a black cat sitting down with yellow eyes
cartoonized_image_1011.png,toucan sticker
cartoonized_image_1012.png,a butterfly sticker with a cup of coffee
cartoonized_image_1013.png,a brown and white cow sitting on top of a stool
cartoonized_image_1014.png,a clock with a shell on it
cartoonized_image_1015.png,a bed with a canopy on it
cartoonized_image_1016.png,a sticker of a che che che che che che che che che che che che che che
cartoonized_image_1017.png,a bed with a penguin and other animals
cartoonized_image_1018.png,a sticker with a shell on it
cartoonized_image_1019.png,a panda bear sitting in a green box
cartoonized_image_102.png,a sticker with a mask and a mask of a woman
cartoonized_image_1020.png,a sticker of a chip chip chip chip chip chip chip chip chip chip chip chip chip chip
cartoonized_image_1021.png,a cartoon style vinyl record player with a rooster on top
cartoonized_image_1022.png,a sticker of a fox sitting on a shelf
cartoonized_image_1023.png,a brown bear sitting on a bed
cartoonized_image_1024.png,a kangaroo sitting on a computer
cartoonized_image_1025.png,a deer reading a book in a library
cartoonized_image_1026.png,a colorful wall mural with a toucan bird on it
cartoonized_image_1027.png,toucan sticker
cartoonized_image_1028.png,flamingo dog bed
cartoonized_image_1029.png,a whale is floating in the air on a newspaper
cartoonized_image_103.png,a tree house sticker
cartoonized_image_1030.png,a horse head with a tie on it
cartoonized_image_1031.png,a koloa holding a newspaper
cartoonized_image_1032.png,a sticker with an image of an alien spaceship flying over a desert
cartoonized_image_1033.png,a street in the old city of morocco
cartoonized_image_1034.png,an astronaut with a baby in his arms
cartoonized_image_1035.png,an angel with wings and flowers
cartoonized_image_1036.png,hot air balloon sticker
cartoonized_image_1037.png,a sticker with a colorful dragon on it
cartoonized_image_1038.png,a sticker with a ham ham ham ham ham ham ham ham ham ham ham ham ham ham
cartoonized_image_1039.png,a cartoon horse drawn in the shape of a carriage
cartoonized_image_104.png,three colorful tuks parked in front of a building
cartoonized_image_1040.png,a chair with books on it
cartoonized_image_1041.png,a sticker with a carousel and a camera
cartoonized_image_1042.png,a rainbow staircase with a rainbow and a rainbow
cartoonized_image_1043.png,alice and the cheshires sticker
cartoonized_image_1044.png,a cartoon illustration of a carousel with many people
cartoonized_image_1045.png,a bat flying over the moon with stars and clouds
cartoonized_image_1046.png,a pirate ship with a full moon in the background
cartoonized_image_1047.png,a stack of books with a flower on top
cartoonized_image_1048.png,a cartoon of a medieval village with people
cartoonized_image_1049.png,a sticker with a robot wearing a top hat
cartoonized_image_105.png,a yellow tram car on a city street
cartoonized_image_1050.png,a fox with a top hat and a pipe
cartoonized_image_1051.png,a sticker with a train in the middle
cartoonized_image_1052.png,a teapot with a blue and green swirl on it
cartoonized_image_1053.png,a clock and some water in a pond
cartoonized_image_1054.png,a cartoon character with a pot and a pot
cartoonized_image_1055.png,a sticker with a waterfall and trees
cartoonized_image_1056.png,a cartoon spaceship with a rocket in the background
cartoonized_image_1057.png,a stained stained glass window with a bird in the center
cartoonized_image_1058.png,rubber ducky bath sticker
cartoonized_image_1059.png,a cartoon dragon with a chest and a fire
cartoonized_image_106.png,a snow globe with a star inside
cartoonized_image_1060.png,a beetle with a black and white stripe on it ' s back
cartoonized_image_1061.png,a sticker with a gnome in a garden
cartoonized_image_1062.png,a colorful fish sticker
cartoonized_image_1063.png,a white wolf sticker with a snowy forest background
cartoonized_image_1064.png,a cartoon bird perched on top of a tower
cartoonized_image_1065.png,a cartoon character of a hedge with a large tail
cartoonized_image_1066.png,ants sticker
cartoonized_image_1067.png,a bouquet of sunflowers and butterflies in a vase
cartoonized_image_1068.png,a sticker with a dragon head on fire
cartoonized_image_1069.png,a lake with trees and mountains in the background
cartoonized_image_107.png,cafe cafe sticker - sticker
cartoonized_image_1070.png,a piece of pie with whipped cream and a strawberry on top
cartoonized_image_1071.png,a typewriter with flowers and a paper
cartoonized_image_1072.png,a colorful illustration of a rainbow colored house surrounded by clouds
cartoonized_image_1073.png,a unicorn with wings flying in the sky
cartoonized_image_1074.png,a sticker with a beach scene and umbrellas
cartoonized_image_1075.png,a sticker with a green dragon sitting on a rock
cartoonized_image_1076.png,a colorful train with candy and candis
cartoonized_image_1077.png,a cartoon character with a hammer and a bull
cartoonized_image_1078.png,an octopus sticker with a blue background
cartoonized_image_1079.png,a sticker of a sphinx sitting on a stone pillar
cartoonized_image_108.png,a sticker with a green lizard on it ' s back
cartoonized_image_1080.png,iron man iron man iron man iron man iron man iron man iron man iron man iron man iron
cartoonized_image_1081.png,a sticker of a green dragon with a large mouth
cartoonized_image_1082.png,a cartoon mouse with balloons and a top hat
cartoonized_image_1083.png,a cartoon dragon flying in the sky
cartoonized_image_1084.png,a beaver in a pool with a sticker
cartoonized_image_1085.png,a sticker with a bicycle and flowers
cartoonized_image_1086.png,a gi is in the car with its head out
cartoonized_image_1087.png,the eiff tower with cherry blossoms sticker
cartoonized_image_1088.png,a sticker with a bird in the center of it
cartoonized_image_1089.png,a colorful umbrella with a rainbow colored umbrella
cartoonized_image_109.png,a dragon with a sword and a knight on it
cartoonized_image_1090.png,a ra ra ra ra ra ra ra ra ra ra ra ra ra ra ra ra ra ra
cartoonized_image_1091.png,a cartoon squirrel in a hole surrounded by leaves
cartoonized_image_1092.png,a compass sticker with a blue and brown compass
cartoonized_image_1093.png,a turtle sticker with a swirl pattern on it
cartoonized_image_1094.png,a sticker with a fairy in the grass
cartoonized_image_1095.png,three kittens playing with yarn sticker
cartoonized_image_1096.png,tea pot with lemons and lemons
cartoonized_image_1097.png,a red carpet with a red carpet and a golden trophy
cartoonized_image_1098.png,a boat floating in the water
cartoonized_image_1099.png,a hand holding a paper airplane sticker
cartoonized_image_11.png,a mexican flag sticker
cartoonized_image_110.png,a cartoon village with mountains and houses
cartoonized_image_1100.png,alice and the wonderland wonderlands playing cards
cartoonized_image_1101.png,a corgy sticker with a scarf around its neck
cartoonized_image_1102.png,a witch with a cauldle in her hand
cartoonized_image_1103.png,a cartoon sea lion swimming in the water
cartoonized_image_1104.png,a cartoon character playing a saxophone
cartoonized_image_1105.png,dream catcher sticker - sticker - the moonlight store
cartoonized_image_1106.png,a ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham ham
cartoonized_image_1107.png,a paper boat floating in the ocean surrounded by corals
cartoonized_image_1108.png,a paper boat floating in the water
cartoonized_image_1109.png,a pink flaming sticker with a galaxy background
cartoonized_image_111.png,a sticker with a dragon on top of a rock
cartoonized_image_1110.png,a sticker with a dragon and a ball of fire
cartoonized_image_1111.png,a cartoon style illustration of a village with a road and houses
cartoonized_image_1112.png,a colorful peacock sticker with a white background
cartoonized_image_1113.png,a boy holding balloons in his hand
cartoonized_image_1114.png,a train traveling through the snowy mountains
cartoonized_image_1115.png,a cute little fairy with blue hair and green wings
cartoonized_image_1116.png,a clown with balloons and a hat
cartoonized_image_1117.png,a sticker with a toy store and teddy bears
cartoonized_image_1118.png,a sticker with a lake and trees at night
cartoonized_image_1119.png,london bus sticker - sticker
cartoonized_image_112.png,a sticker with a waterfall in the middle
cartoonized_image_1120.png,a white lion sitting on top of a waterfall
cartoonized_image_1121.png,a couple sitting at a table in a cafe
cartoonized_image_1122.png,a sticker with a dragon flying through the clouds
cartoonized_image_1123.png,a sticker with a fairy in the woods
